row_id,order_id,created_at,item_name,item_cat,item_size,item_price,quantity,delivery,cust_firstname,cust_lastname,delivery_address1,delivery_address2,delivery_city,delivery_zip
,,,,,,,,,,,103 N Fillmore,,Laguna,
,,,,,,,,,,,107 Lost Flat,,Fox Chase,
,,,,,,,,,,,947 Red Crossing,,Canyondam,
,,,,,,,,,,,697 S Perkins,,Sams Corner,
,,,,,,,,,,,188 Easy Union,,Vicco,
,,,,,,,,,,,472 Velvet Fawn Run,,Roseburg North,
,,,,,,,,,,,575 Heather Gate,,Masonville,
,,,,,,,,,,,682 Rose Path,,Eagar,
,,,,,,,,,,,521 Broad Bear Shore,,North Lauderdale,
,,,,,,,,,,,765 Green Stream Gardens,,Matamoras borough,
,,,,,,,,,,,146 Center Land,,Landover Hills,
,,,,,,,,,,,110 Hidden Arcade,,Temelec,
,,,,,,,,,,,559 Quaking Gateway,,Reedsport,
,,,,,,,,,,,736 Brook Point,,Orestes,
,,,,,,,,,,,173 Middle Prairie,,Excursion Inlet,
,,,,,,,,,,,569 Little Key,,Lodge Pole,
,,,,,,,,,,,890 Hazy Ridge,,Torrance,
,,,,,,,,,,,746 Horse Extension,,Middle village,
,,,,,,,,,,,638 Dale Skyway,,Sugden,
,,,,,,,,,,,461 Sleepy Orchard,,Osage,
,,,,,,,,,,,163 Wagon Highlands,,Solomons,
,,,,,,,,,,,150 Cedar Bridge,,Dauphin borough,
,,,,,,,,,,,751 Silent Falls,,Lemmon,
,,,,,,,,,,,424 Middle Deer,,Sun village,
,,,,,,,,,,,309 Quiet Timber Landing,,Innsbrook village,
,,,,,,,,,,,729 Harvest Skyway,,Powhattan,
,,,,,,,,,,,797 Golden Driveway,,Pardeeville village,
,,,,,,,,,,,416 Willow Oval,,Varna village,
,,,,,,,,,,,186 Rustic Hollow,,Innsbrook village,
,,,,,,,,,,,912 Golden Cove,,Pittston,
,,,,,,,,,,,838 Green Bank,,Ismay,
,,,,,,,,,,,222 Iron Throughway,,Lowndesville,
,,,,,,,,,,,60 Quiet Ninth,,Laflin borough,
,,,,,,,,,,,404 Forest Overpass,,West Hollywood,
,,,,,,,,,,,671 Easy Beacon Viaduct,,Fremont Hills,
,,,,,,,,,,,327 Sleepy Lawn,,Pontiac,
,,,,,,,,,,,46 Embers Crossroad,,Moriarty,
,,,,,,,,,,,147 Sleepy Wall Pass,,Earlsboro,
,,,,,,,,,,,623 Silent Leaf,,Ligonier,
,,,,,,,,,,,2 SW Port,,Greenhorn,
,,,,,,,,,,,64 First Passage,,Lavon,
,,,,,,,,,,,95 Quiet Blossom,,Edna Bay,
,,,,,,,,,,,803 Cotton Brook Inlet,,Eagle Harbor,
,,,,,,,,,,,242 SE Bypass,,Glen Avon,
,,,,,,,,,,,706 Fox Bridge,,Baxley,
,,,,,,,,,,,218 Heather Leaf,,Nason,
,,,,,,,,,,,949 W Lake,,Kentwood,
,,,,,,,,,,,83 Dewy Lodge Beach,,Spring Creek,
,,,,,,,,,,,295 Butterfly Pathway,,Central Park,
,,,,,,,,,,,658 Dusty Rapid Gateway,,Luther,
,,,,,,,,,,,193 Gentle Robin,,Wilberforce,
,,,,,,,,,,,826 Silent Pioneer,,Talent,
,,,,,,,,,,,900 Sleepy Forge,,Oakley village,
,,,,,,,,,,,825 Heather Ironwood Path,,Maurice,
,,,,,,,,,,,743 Pleasant Neck Union,,Bennettsville,
,,,,,,,,,,,780 Horse Crossing,,Callao,
,,,,,,,,,,,156 Quiet Pond Junction,,Deer Grove village,
,,,,,,,,,,,124 Indian Pine,,Nelsonville,
,,,,,,,,,,,609 Golden Bend,,Riverside,
,,,,,,,,,,,220 Gentle Forest,,Woodsfield village,
,,,,,,,,,,,190 Honey Fork,,Beckwourth,
,,,,,,,,,,,546 Rocky Tunnel,,Geronimo,
,,,,,,,,,,,343 Sunny Pony Corner,,Red River,
,,,,,,,,,,,92 Zephyr Path,,Ekalaka,
,,,,,,,,,,,956 Mountain Corner,,Corral,
,,,,,,,,,,,925 Foggy Maple,,Victorville,
,,,,,,,,,,,198 Clear Timber,,East Butler borough,
,,,,,,,,,,,345 Lost Well,,Cressona borough,
,,,,,,,,,,,565 Elk Parade,,Lamoni,
,,,,,,,,,,,486 Burning Causeway,,Wheat Ridge,
,,,,,,,,,,,742 Rabbit Fair,,Dillsboro,
,,,,,,,,,,,709 Colonial Spring,,Fort Campbell North,
,,,,,,,,,,,405 Lazy Way,,Lowndesville,
,,,,,,,,,,,904 Broad Goose Land,,Chicken,
,,,,,,,,,,,196 NW Mission Turnpike,,Danvers,
,,,,,,,,,,,727 Fifth Cove,,Nobleton,
,,,,,,,,,,,17 Silent Annex,,Melbourne,
,,,,,,,,,,,503 Cider Trace,,Tavernier,
,,,,,,,,,,,911 Indian Mill,,Dalton borough,
,,,,,,,,,,,865 End Woods,,Hastings borough,
,,,,,,,,,,,628 Oak Bay,,Big Sky,
,,,,,,,,,,,863 Dusty Maple,,Briarwood,
,,,,,,,,,,,498 Old Loaf,,Baldwin,
,,,,,,,,,,,696 Golden Farms,,Mountainboro,
,,,,,,,,,,,93 Easy Nectar Pike,,Turtle Lake village,
,,,,,,,,,,,248 Wishing Smith,,Elkhart village,
,,,,,,,,,,,923 Broad Spring Crossroad,,Fingal,
,,,,,,,,,,,177 Spur Square,,Redding,
,,,,,,,,,,,768 Lost Spur,,Stock Island,
,,,,,,,,,,,476 SW Lagoon Ridge,,Tremont village,
,,,,,,,,,,,765 Dewy Panda Crest,,Kykotsmovi Village,
,,,,,,,,,,,334 Misty Rest,,Pearlington,
,,,,,,,,,,,881 Lost Ranch Walk,,Wilmore,
,,,,,,,,,,,858 Umber Wagon Radial,,Gardena,
,,,,,,,,,,,113 Harvest Stream Walk,,Sibley village,
,,,,,,,,,,,496 E Embers,,Necedah village,
,,,,,,,,,,,464 Grand Circle,,Centralvillage,
,,,,,,,,,,,415 Indian Expressway,,New Bedford village,
,,,,,,,,,,,188 Round Crossing,,Gilliam village,
,,,,,,,,,,,664 Broad Gate Way,,Tunica,
,,,,,,,,,,,548 Lazy Trafficway,,Sun Prairie,
,,,,,,,,,,,131 Panda Turnpike,,Fowlerton,
,,,,,,,,,,,87 Green Estate,,Elk Run Heights,
,,,,,,,,,,,572 Rocky Barn,,Mantoloking borough,
,,,,,,,,,,,103 Ford Drive,,Cuero,
,,,,,,,,,,,157 Green Promenade,,Shell Knob,
,,,,,,,,,,,314 Thunder Quail,,El Segundo,
,,,,,,,,,,,489 S Lagoon Extension,,Enola,
,,,,,,,,,,,808 Stony Route,,Mount Gay-Shamrock,
,,,,,,,,,,,875 Umber Ironwood,,Epping,
,,,,,,,,,,,528 Second Valley,,Fox Chase,
,,,,,,,,,,,778 Wishing Light Valley,,Levasy,
,,,,,,,,,,,181 Gentle Blossom,,Teec Nos Pos,
,,,,,,,,,,,572 Cotton Meadow,,Delavan Lake,
,,,,,,,,,,,295 Common Edge,,Golden village,
,,,,,,,,,,,343 Shady Nectar,,Glenmont village,
,,,,,,,,,,,302 Merry Estate,,North Bethesda,
,,,,,,,,,,,826 Dusty Eighth Cove,,Buffalo Gap,
,,,,,,,,,,,4 Third Station,,Ulysses village,
,,,,,,,,,,,932 Wishing Fourth Gardens,,Parkersburg,
,,,,,,,,,,,620 Velvet Bypass,,Wonder Lake,
,,,,,,,,,,,629 Apple Passage,,Lasker,
,,,,,,,,,,,803 Jagged Sixth,,Sterling Heights,
,,,,,,,,,,,681 NE Washington,,San Rafael,
,,,,,,,,,,,171 Fallen Causeway,,Tunica,
,,,,,,,,,,,183 Old Prairie Plaza,,Elm,
,,,,,,,,,,,19 Barn Heights,,Makaha,
,,,,,,,,,,,736 Clear Highlands,,Ingalls,
,,,,,,,,,,,64 Little Hickory,,Freeland borough,
,,,,,,,,,,,861 Harvest Expressway,,Kingsley,
,,,,,,,,,,,32 Willow Vale,,Lost Lake Woods,
,,,,,,,,,,,842 NE Beacon,,Round Lake,
,,,,,,,,,,,778 Fourth Trail,,Chatham borough,
,,,,,,,,,,,765 Sunny Field,,New Bedford village,
,,,,,,,,,,,671 Sixth Highway,,Trowbridge Park,
,,,,,,,,,,,751 Bright Stream Ridge,,Protection,
,,,,,,,,,,,927 Gentle Third Bypass,,Coopersburg borough,
,,,,,,,,,,,30 Wishing Field Canyon,,Apache Junction,
,,,,,,,,,,,319 Quaking Goose Freeway,,Bloomer,
,,,,,,,,,,,405 Clear Rapid Mount,,Roselle village,
,,,,,,,,,,,312 Green Summit,,Kennedale,
,,,,,,,,,,,173 Barn Place,,Thayer village,
,,,,,,,,,,,399 Fox Mount,,Bayou Vista,
,,,,,,,,,,,239 Honey Ledge,,Bull Valley village,
,,,,,,,,,,,138 Rest Vale,,Roslyn,
,,,,,,,,,,,651 Hazy Second,,Washington Grove,
,,,,,,,,,,,469 Cotton Zephyr Dell,,Potosi village,
,,,,,,,,,,,583 Noble Cloud,,Wyandanch,
,,,,,,,,,,,360 Indian Lake,,Locust,
,,,,,,,,,,,915 Amber Farms,,Olivia,
,,,,,,,,,,,812 Jagged Circle Passage,,Elba,
,,,,,,,,,,,547 Wishing Walk,,Biglerville borough,
,,,,,,,,,,,654 Wishing Lock,,Delcambre,
,,,,,,,,,,,854 Pleasant Elk,,Hartshorne,
,,,,,,,,,,,913 Amber Main Inlet,,Yarnell,
,,,,,,,,,,,219 Quaking Blossom,,La Presa,
,,,,,,,,,,,486 NW Meadow,,Tar Heel,
,,,,,,,,,,,76 Sleepy Blossom,,Ericson village,
,,,,,,,,,,,428 Blue Rabbit Arbor,,Gu-Win,
,,,,,,,,,,,18 Iron Timber,,Gandy,
,,,,,,,,,,,464 Blossom Crest,,Marietta-Alderwood,
,,,,,,,,,,,187 Creek Port,,Hudson Bend,
,,,,,,,,,,,151 Shady Parade,,Lihue,
,,,,,,,,,,,766 Sleepy Anchor Manor,,Quilcene,
,,,,,,,,,,,711 Hidden Bear,,Woods borough,
,,,,,,,,,,,251 Bright Bluff,,Millbrook village,
,,,,,,,,,,,185 Cozy Edge,,North Platte,
,,,,,,,,,,,911 Embers Approach,,Weldon village,
,,,,,,,,,,,753 Velvet Loaf,,Hallsville,
,,,,,,,,,,,332 Cozy Vale,,Hacketts,
,,,,,,,,,,,155 Main Motorway,,Galena Park,
,,,,,,,,,,,957 Rest Vale,,Wynne,
,,,,,,,,,,,98 Broad Rapid Vale,,Douglassville,
,,,,,,,,,,,784 Amber Stead,,Geraldine,
,,,,,,,,,,,150 Cozy Ninth Oval,,Parkville,
,,,,,,,,,,,723 Velvet Edge,,Daleville,
,,,,,,,,,,,385 Cozy Loaf Jetty,,Arcade,
,,,,,,,,,,,693 Hill Quay,,Sweetwater,
,,,,,,,,,,,539 Cinder Essex Motorway,,Port Alsworth,
,,,,,,,,,,,449 Silver Rest,,Vineyard Haven,
